X,Vx,U0,roll,roll_sp,Y,Vy,U1,pitch,pitch_sp,yaw,yaw_sp,TorqueYaw,Ez,Z,Vz,Tm,pwmedf,s0,s1,s2  
0.00195, -0.05248,   0.52713, 0.66016, -0.05348,          0.00827, -0.03736,   -1.42864, 4.62223, -0.16648,       36.86943, 60.00000, 0.04209,            0.28904, 0.27443, 0.57390,   19.94061, 1468,      3,3,3    
0.00153, -0.04350,   0.27815, 0.59829, -0.09575,          0.00798, 0.00010,   -1.42046, 4.66202, -0.06762,        37.18349, 60.00000, 0.03766,            0.28902, 0.28185, 0.59366,   19.73272, 1465,      3,3,3    
0.00117, -0.03790,   0.09411, 0.52297, -0.08349,          0.00789, -0.00245,   -1.55564, 4.72719, -0.05987,       37.61637, 60.00000, 0.03842,            0.28901, 0.28746, 0.59545,   19.66523, 1464,      3,3,3    
0.00078, -0.02971,   0.06196, 0.48604, -0.07546,          0.00793, 0.00047,   -1.31694, 4.76044, -0.03316,        37.89814, 60.00000, 0.04194,            0.32886, 0.29610, 0.61463,   19.44695, 1461,      3,3,3    
-0.00009, -0.11510,   0.11352, 0.46331, -0.28933,         0.00806, 0.04800,   -1.14986, 4.76789, -0.16899,        38.03667, 60.00000, 0.04416,            0.30892, 0.30176, 0.59762,   19.50238, 1462,      3,3,3    
-0.00090, -0.05384,   0.20566, 0.43361, -0.14677,         0.00845, 0.01692,   -1.13505, 4.78110, -0.07083,        38.30335, 60.00000, 0.04710,            0.27902, 0.30492, 0.53979,   19.85801, 1467,      3,3,3    
-0.00194, -0.16288,   0.19573, 0.37603, -0.33936,         0.00867, 0.02025,   -1.24128, 4.79950, -0.36328,        38.66412, 60.00000, 0.04667,            0.30891, 0.30890, 0.55300,   19.73014, 1465,      3,3,3    
-0.00337, -0.08704,   0.12428, 0.35141, -0.16777,         0.00860, -0.01635,   -1.02207, 4.79923, -0.24609,       38.91558, 60.00000, 0.04644,            0.30891, 0.31291, 0.52581,   19.86993, 1467,      3,3,3    
-0.00399, -0.06225,   0.17020, 0.32780, -0.19856,         0.00848, 0.03716,   -0.80217, 4.77683, -0.06697,        39.15174, 60.00000, 0.04834,            0.30891, 0.31709, 0.53001,   19.79834, 1466,      3,3,3    
-0.00417, -0.00377,   0.24864, 0.30237, -0.13618,         0.00913, 0.06419,   -0.78244, 4.76120, 0.15218,         39.37460, 60.00000, 0.04933,            0.30892, 0.31971, 0.48255,   20.08992, 1470,      3,3,3    
-0.00438, -0.09741,   0.31007, 0.28326, -0.28607,         0.00974, 0.05644,   -0.56274, 4.74005, -0.11162,        39.48712, 60.00000, 0.05010,            0.30894, 0.32234, 0.46131,   20.20467, 1472,      3,3,3    
-0.00534, -0.06199,   0.36812, 0.21707, -0.16797,         0.00993, 0.00744,   -0.54289, 4.68715, -0.12921,        39.76635, 60.00000, 0.04898,            0.32889, 0.32654, 0.44943,   20.24179, 1473,      3,3,3    
-0.00676, -0.11239,   0.51677, 0.18693, -0.18008,         0.00922, -0.05506,   -0.77136, 4.67640, -0.41378,       39.87602, 60.00000, 0.04672,            0.31893, 0.32951, 0.46352,   20.11875, 1471,      3,3,3    
-0.00753, -0.04097,   0.67438, 0.10040, -0.14533,         0.00897, 0.01371,   -0.64919, 4.63799, -0.07777,        40.16341, 60.00000, 0.04574,            0.33888, 0.33324, 0.39004,   20.57334, 1477,      3,3,3    
-0.00858, -0.15946,   0.50700, 0.05214, -0.56807,         0.00997, 0.19308,   -0.56413, 4.60597, 0.00989,         40.36603, 60.00000, 0.04681,            0.33889, 0.33684, 0.38788,   20.55031, 1477,      3,3,3    
